Attack;BCI attempt;BCIConfidence;BCIState;BCIThresholdBuffer;Email;Event;Framecount;Gamemode;GoblinName;InputNumber;Nr of Turns;Player Health;Player Mana;PlayerTurn;SessionID;Success BCI;Take Damage;Timestamp
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;11646;NULL;NULL;NULL;5;NULL;NULL;FALSE;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:15:24.0347
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;11669;NULL;NULL;NULL;5;NULL;NULL;FALSE;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:15:24.6222
NULL;NULL;NULL;NULL;NULL;anonymous;End Goblin Turn;11694;NULL;NULL;NULL;NULL;NULL;NULL;NULL;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:15:25.2541
NULL;NULL;NULL;NULL;NULL;anonymous;Start Player Turn;11695;NULL;NULL;NULL;6;NULL;NULL;TRUE;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:15:25.2708
NULL;NULL;NULL;NULL;NULL;anonymous;Player Moving;11744;NULL;NULL;NULL;NULL;NULL;NULL;NULL;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:15:26.7619
NULL;NULL;NULL;NULL;NULL;anonymous;End Player Turn;11840;NULL;NULL;NULL;6;NULL;NULL;FALSE;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:15:29.3232
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;11840;NULL;NULL;NULL;6;NULL;NULL;FALSE;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:15:29.3242
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;11898;NULL;NULL;NULL;6;NULL;NULL;FALSE;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:15:30.7900
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;11946;NULL;NULL;NULL;6;NULL;NULL;FALSE;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:15:31.9913
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;11992;NULL;NULL;NULL;6;NULL;NULL;FALSE;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:15:33.2439
NULL;NULL;NULL;NULL;NULL;anonymous;Player Hurt;12000;NULL;NULL;NULL;NULL;18.0000;6.0000;NULL;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;2;2023-05-10 12:15:33.4584
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;12000;NULL;NULL;NULL;6;NULL;NULL;FALSE;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:15:33.4636
NULL;NULL;NULL;NULL;NULL;anonymous;End Goblin Turn;12052;NULL;NULL;NULL;NULL;NULL;NULL;NULL;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:15:34.8446
NULL;NULL;NULL;NULL;NULL;anonymous;Start Player Turn;12053;NULL;NULL;NULL;7;NULL;NULL;TRUE;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:15:34.8784
2;NULL;NULL;NULL;NULL;anonymous;Player Attacking;12111;NULL;NULL;NULL;NULL;NULL;NULL;NULL;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:15:36.5507
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;12175;NULL;NULL;NULL;7;NULL;NULL;FALSE;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:15:38.4008
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;12184;NULL;NULL;NULL;7;NULL;NULL;FALSE;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:15:38.6329
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;12225;NULL;NULL;NULL;7;NULL;NULL;FALSE;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:15:39.6651
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;12247;NULL;NULL;NULL;7;NULL;NULL;FALSE;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:15:40.2353
NULL;NULL;NULL;NULL;NULL;anonymous;Player Hurt;12249;NULL;NULL;NULL;NULL;17.0000;4.0000;NULL;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;3;2023-05-10 12:15:40.2806
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;12249;NULL;NULL;NULL;7;NULL;NULL;FALSE;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:15:40.2844
NULL;NULL;NULL;NULL;NULL;anonymous;End Goblin Turn;12292;NULL;NULL;NULL;NULL;NULL;NULL;NULL;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:15:41.3836
NULL;NULL;NULL;NULL;NULL;anonymous;Start Player Turn;12293;NULL;NULL;NULL;8;NULL;NULL;TRUE;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:15:41.4005
3;NULL;NULL;NULL;NULL;anonymous;Player Attacking;12350;NULL;NULL;NULL;NULL;NULL;NULL;NULL;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:15:43.0582
NULL;NULL;NULL;NULL;NULL;anonymous;Goblin Death;12377;NULL;Goblin 2 Variant (5);NULL;NULL;NULL;NULL;NULL;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:15:43.8029
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;12414;NULL;NULL;NULL;8;NULL;NULL;FALSE;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:15:44.8372
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;12470;NULL;NULL;NULL;8;NULL;NULL;FALSE;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:15:46.2534
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;12502;NULL;NULL;NULL;8;NULL;NULL;FALSE;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:15:47.0873
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;12542;NULL;NULL;NULL;8;NULL;NULL;FALSE;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:15:48.1064
NULL;NULL;NULL;NULL;NULL;anonymous;End Goblin Turn;12562;NULL;NULL;NULL;NULL;NULL;NULL;NULL;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:15:48.6384
NULL;NULL;NULL;NULL;NULL;anonymous;Start Player Turn;12563;NULL;NULL;NULL;9;NULL;NULL;TRUE;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:15:48.6552
NULL;NULL;0.8229;ReceivingData;NULL;anonymous;MotorImagery;12688;NULL;NULL;5;NULL;NULL;NULL;NULL;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:15:51.8069
NULL;NULL;NULL;NULL;(0.844 0.828 0.823 0.713 0.796 0.833 0.843 0.851 );anonymous;NULL;12688;NULL;NULL;NULL;NULL;NULL;NULL;NULL;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:15:51.8079
NULL;NULL;NULL;NULL;NULL;anonymous;RegenMana;12688;NULL;NULL;NULL;NULL;17.0000;2.0000;NULL;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;3;2023-05-10 12:15:51.8085
NULL;7;NULL;NULL;NULL;anonymous;BciSuccess;12688;NULL;NULL;NULL;NULL;NULL;NULL;NULL;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;TRUE;NULL;2023-05-10 12:15:51.8090
